,name,loss_train
0,siamese,6.896205365657806
1,siamese,6.121220946311951
2,siamese,5.331394642591476
3,siamese,4.731403648853302
4,siamese,4.351059526205063
5,siamese,4.019907504320145
6,siamese,3.7061970829963684
7,siamese,3.4174880981445312
8,siamese,3.1505057215690613
9,siamese,2.922173857688904
10,siamese,2.719500556588173
11,siamese,2.535949006676674
12,siamese,2.363142341375351
13,siamese,2.2042914777994156
14,siamese,2.049299895763397
15,siamese,1.8986220955848694
16,siamese,1.742425873875618
17,siamese,1.589554063975811
18,siamese,1.4322319626808167
19,siamese,1.2958309426903725
20,siamese,1.1512021347880363
21,siamese,1.0194708481431007
22,siamese,0.9018953591585159
23,siamese,0.7915490679442883
24,siamese,0.6902599148452282
